Word              Count
purring           2
push              1
puss              1
put               31
putting           3
puzzle            1
puzzled           9
puzzling          4
quadrille         4
quarrel           1
quarrelled        1
quarrelling       2
queen             68
queen's           7
queens            1
queer             11
queer-looking     1
queerest          1
question          17
questions         4
quick             2
quicker           1
quickly           2
quiet             2
quietly           5
quite             55
quiver            1
rabbit            43
rabbit's          4
rabbit-hole       4
rabbits           1
race              2
race-course       1
railway           2
raised            2
raising           1
ran               16
rapidly           2
rapped            1
rat-hole          1
rate              9
rather            25
rats              1
rattle            1
rattling          2
raven             1
ravens            1
raving            2
raw               1
reach             4
reaching          1
read              11
readily           1
reading           3
ready             8
real              3
reality           1
really            13
rearing           1
reason            9
reasonable        1
reasons           1
received          1
recognised        1
recovered         2
red               2
red-hot           1
reduced           1
reeds             1
reeling           1
refreshments      1
refused           1
regular           2
relief            2
relieved          1
remain            1
remained          3
remaining         1
remark            10
remarkable        2
remarked          10
remarking         3
remarks           3
remedies          1
remember          14
remembered        5
remembering       1
reminding         1
removed           2
repeat            7
repeated          10
repeating         3
replied           29
reply             5
resource          1
respect           1
respectable       1
respectful        1
rest              10
resting           2
result            1
retire            1
returned          2
returning         1
rich              1
riddle            1
riddles           2
ridge             1
ridges            1
ridiculous        1
right             31
right-hand        1
righthand         1
rightly           1
ring              2
ringlets          2
riper             1
rippling          1
rise              1
rises             1
rising            1
roared            1
roast             1
rock              1
rome              2
roof              6
room              13
roots             1
rope              1
rose              1
rose-tree         3
roses             3
rosetree          1
roughly           1
round             41
row               2
royal             2
rubbed            1
rubbing           2
rude              2
rudeness          1
rule              5
rules             3
rumbling          1
run               4
running           8
rush              2
rushed            1
rustled           1
rustling          1
sad               3
sadly             5
safe              2
sage              1
said              462
salmon            1
salt              2
same              24
sand              1
sands             1
sang              2
sat               17
saucepan          1
saucepans         1
saucer            1
savage            4
save              1
saves             1
saw               14
say               51
saying            15
says              4
scale             1
scaly             1
school            5
schoolroom        1
scolded           1
scrambling        1
scratching        1
scream            2
screamed          4
screaming         1
scroll            2
sea               13
sea-shore         1
seals             1
seaography        1
search            1
seaside           1
seated            1
second            4
secondly          2
secret            1
see               67
seeing            1
seem              8
seemed            27
seems             5
seen              15
seldom            1
sell              2
send              1
sending           2
sends             1
sensation         2
sense             3
sent              2
sentence          6
sentenced         1
series            1
seriously         1
serpent           9
serpents          3
set               14
setting           1
settle            1
settled           3
settling          1
seven             6
several           4
severely          4
severity          1
sh                2
shade             1
shake             1
shakespeare       1
shaking           3
shall             25
shan't            6
shape             1
shaped            3
share             1
shared            1
sharing           1
shark             1
sharks            1
sharp             6
sharply           4
she               541
she'd             2
she'll            3
she's             7
shedding          1
sheep             1
shelves           1
shepherd          1
shifting          1
shilling          1
shillings         1
shingle           1
shining           1
shiny             1
shiver            1
shock             1
shoes             7
shook             9
shore             3
short             4
shorter           2
should            27
shoulder          4
shoulders         4
shouldn't         5
shouted           9
shouting          2
show              3
shower            2
showing           2
shriek            5
shrieked          1
shrieks           1
shrill            5
shrimp            1
shrink            1
shrinking         4
shut              5
shutting          2
shy               1
shyly             1
side              17
sides             4
sigh              4
sighed            5
sighing           3
sight             10
sign              1
signed            2
signifies         1
signify           1
silence           14
silent            7
simple            5
simpleton         1
simply            3
since             4
sing              6
singers           2
singing           2
sink              1
sir               7
sister            8
sister's          1
sisters           2
sit               8
sits              1
sitting           10
six               2
sixpence          1
sixteenth         1
size              13
sizes             1
skimming          1
skirt             1
skurried          1
sky               4
sky-rocket        1
slate             3
slate-pencil      1
slates            7
slates'll         1
sleep             6
sleepy            5
slightest         1
slipped           3
slippery          1
slowly            8
sluggard          1
small             10
smaller           3
smallest          2
smile             2
smiled            2
smiling           2
smoke             1
smoking           2
snail             3
snappishly        1
snatch            2
sneeze            2
sneezed           1
sneezes           2
sneezing          6
snorting          1
snout             1
so                151
sob               1
sobbed            1
sobbing           3
sobs              4
soft              1
softly            1
soldier           1
soldiers          10
solemn            3
solemnly          4
soles             1
solid             1
some              51
somebody          7
somehow           1
someone           1
somersault        1
something         18
sometimes         5
somewhere         3
son               1
song              7
soo               7
soon              25
sooner            2
soothing          1
sorrow            2
sorrowful         2
sorrows           1
sorry             1
sort              20
sorts             3
sound             4
sounded           5
sounds            4
soup              18
sour              1
spades            1
speak             15
speaker           1
speaking          5
spectacles        3
speech            3
speed             1
spell             1
spite             1
splash            1
splashed          1
splashing         2
splendidly        1
spoke             17
spoken            1
spoon             2
spot              1
sprawling         1
spread            3
spreading         1
squeaked          1
squeaking         2
squeeze           1
squeezed          1
stairs            3
stalk             1
stamping          2
stand             6
standing          1
star-fish         1
staring           3
started           2
startled          2
state             1
station           1
stay              5
stays             1
steady            1
steam-engine      1
sternly           1
stick             4
sticks            1
stiff             1
stigand           1
still             13
stingy            1
stirring          2
stockings         1
stole             2
stolen            1
stood             7
stool             1
stoop             2
stop              6
stopped           3
stopping          1
